alpha = 0.2200
gamma = 5.0000
prob.endemic = 0.4000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1644170811
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6969	0.0000	3.8171	0.9014	0.9999	0.4949
0.6924	1.0371	3.4042	0.9011	0.9999	0.4969
0.6782	2.1123	3.1393	0.9018	0.9999	0.4951
0.6607	3.2418	2.4302	0.8922	0.9999	0.4849
0.6531	4.4244	1.5143	0.8307	0.9999	0.4845
0.6433	5.7108	1.5141	0.6625	0.9999	0.4803
0.6766	7.2600	0.9451	0.5106	0.9999	0.5029
0.7494	9.4942	1.1255	0.4979	0.9999	0.5467
0.8450	13.3778	1.5120	0.5700	0.9999	0.6029
0.9376	23.1199	1.5111	0.6787	0.9999	0.6749
