alpha = 0.2200
gamma = 15.0000
prob.endemic = 0.0000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 216396922
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5025	0.0000	38601.3323	0.9936	0.9999	0.5024
0.5008	1.0002	21480.8024	0.9930	0.0000	0.5008
0.4993	2.0010	13012.9057	0.9929	0.9999	0.4992
0.5012	3.0020	6504.5813	0.9928	0.0000	0.5012
0.4905	4.0028	4653.4646	0.9912	0.0000	0.4905
0.4955	5.0042	1658.3961	0.9902	0.0000	0.4955
0.5005	6.0056	754.4173	0.9900	0.0000	0.5005
0.5016	7.0086	358.1372	0.9883	0.9999	0.5015
0.5028	8.0114	187.1617	0.9867	0.0000	0.5028
0.4993	9.0164	92.2469	0.9845	0.9999	0.4992
0.4925	10.0190	53.0127	0.9828	0.0000	0.4925
0.4989	11.0252	24.3894	0.9776	1.0000	0.4987
0.4963	12.0308	11.7544	0.9707	0.0000	0.4963
0.4959	13.0400	5.8979	0.9586	0.9999	0.4958
0.4954	14.0490	2.9165	0.9219	0.0000	0.4954
0.4888	15.0644	1.5141	0.7599	0.0000	0.4888
0.4907	16.0898	0.7142	0.4663	1.0000	0.4906
0.5009	17.1422	0.3501	0.3282	0.9999	0.5008
0.5054	18.2228	0.1861	0.2539	0.0000	0.5054
0.5064	19.3586	0.0799	0.2032	0.0000	0.5064
0.5063	20.5412	0.0351	0.1684	0.0000	0.5063
0.5126	21.7740	0.0192	0.1477	0.0000	0.5126
0.5142	23.0792	0.0086	0.1271	0.0000	0.5142
0.5151	24.4596	0.0035	0.1131	0.0000	0.5151
0.5170	25.9176	0.0014	0.1012	1.0000	0.5169
0.5322	27.4502	0.0010	0.0958	0.9999	0.5320
0.5257	29.1276	0.0002	0.0895	0.9998	0.5256
0.5290	30.9264	0.0001	0.0794	0.9999	0.5289
0.5329	32.8748	0.0000	0.0748	0.9998	0.5328
0.5342	34.9704	0.0000	0.0713	0.9998	0.5341
0.5369	37.2724	0.0000	0.0677	0.9998	0.5368
0.5487	39.7906	0.0000	0.0708	0.9999	0.5484
0.5496	42.6612	0.0000	0.0652	1.0000	0.5493
0.5506	45.9558	0.0000	0.0611	0.9999	0.5501
0.5561	49.7888	0.0000	0.0617	0.9999	0.5558
0.5591	54.4358	0.0000	0.0605	1.0000	0.5585
0.5692	60.1452	0.0000	0.0675	0.9999	0.5688
0.5804	68.1008	0.0000	0.0685	0.9999	0.5801
0.5983	80.1142	0.0000	0.0759	0.9999	0.5978
0.6332	106.3730	0.0000	0.1157	0.9999	0.6304
