alpha = 0.2800	alpha = 0.2800
gamma = 10.0000	gamma = 10.0000
prob.endemic = 0.8000	prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 2092893311	seed = 2077991337
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.8988	0	1.2742	0.77415	0.9999	0.4989
0.89825	1.0157	1.2741	0.7743	0.9999	0.4981
0.89415	2.0538	1.274	0.775	0.9999	0.4919
0.89485	3.1161	1.2739	0.7747	0.9999	0.4979
0.8908	4.1978	1.2737	0.77555	0.9999	0.4893
0.891	5.2923	1.2736	0.7754	0.9999	0.5017
0.89015	6.4127	1.2735	0.77345	0.9999	0.49895
0.88575	7.56	1.2733	0.7704	0.9999	0.49885
0.88405	8.7258	1.2732	0.75535	0.9999	0.49945
0.88335	9.9292	1.273	0.71705	0.9999	0.4926
0.88175	11.164	1.2728	0.66415	0.9999	0.48865
0.8833	12.4396	1.2726	0.62175	0.9999	0.4861
0.8872	13.7619	1.2725	0.60585	0.9999	0.49535
0.89685	15.1561	1.27225	0.6047	0.9999	0.5023
0.90715	16.5923	1.2721	0.60885	0.9999	0.5209
0.9068	18.0944	1.2719	0.60345	0.9999	0.5164
0.91305	19.6841	1.2717	0.6083	0.9999	0.51475
0.92015	21.363	1.2714	0.61425	0.9999	0.5286
0.92535	23.1383	1.27125	0.6208	0.9999	0.51685
0.9347	25.0001	1.2711	0.63015	0.9999	0.53455
0.93985	26.9812	1.2708	0.6353	0.9999	0.5408
0.9456	29.1002	1.2705	0.6415	0.9999	0.54815
0.94935	31.3558	1.2702	0.6462	0.9999	0.5496
0.9599	33.7226	1.2699	0.65905	0.9999	0.5751
0.96365	36.2829	1.2697	0.66415	0.9999	0.57725
0.96865	39.0493	1.2693	0.67085	0.9999	0.5785
0.97245	42.0381	1.2689	0.67795	0.9999	0.56815
0.97335	45.2458	1.2685	0.6784	0.9999	0.57385
0.97805	48.7449	1.268	0.684	0.9999	0.59225
0.98355	52.5957	1.2676	0.69275	0.9999	0.60055
0.986	56.8909	1.26705	0.6958	0.9999	0.609
0.98975	61.5723	1.2665	0.70175	0.9999	0.61695
0.99235	66.8578	1.2659	0.7043	0.9999	0.66495
0.9934	72.9859	1.2651	0.70735	0.9999	0.61445
0.99635	80.049	1.2642	0.71095	0.9999	0.6814
0.99715	88.5656	1.2632	0.7121	0.9999	0.67875
0.99785	99.3582	1.26185	0.7132	0.9999	0.6594
0.99875	113.809	1.2601	0.71405	0.9999	0.7477
0.99915	135.109	1.25775	0.714	0.9999	0.7826
0.99955	178.399	1.2529	0.7134	0.9999	0.7511
