alpha = 0.1300
gamma = 60.0000
prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 734944610
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9510	0.0000	0.3123	0.7695	0.9999	0.4995
0.9459	1.0248	0.3122	0.7710	0.9999	0.4781
0.9438	2.0802	0.3122	0.7730	0.9999	0.4952
0.9410	3.1610	0.3122	0.7730	0.9999	0.4740
0.9415	4.2700	0.3121	0.7736	0.9999	0.4871
0.9443	5.4074	0.3121	0.7732	0.9999	0.5046
0.9384	6.5790	0.3120	0.7753	0.9999	0.4911
0.9425	7.7882	0.3120	0.7737	0.9999	0.5011
0.9404	9.0158	0.3119	0.7741	0.9999	0.4908
0.9380	10.3060	0.3118	0.7763	0.9999	0.5067
0.9346	11.6182	0.3118	0.7768	0.9999	0.4882
0.9314	12.9714	0.3118	0.7800	0.9999	0.5114
0.9271	14.3738	0.3117	0.7812	0.9999	0.5023
0.9241	15.8342	0.3116	0.7824	0.9999	0.4978
0.9231	17.3528	0.3115	0.7835	0.9999	0.5069
0.9218	18.9262	0.3115	0.7832	0.9999	0.4917
0.9187	20.5342	0.3114	0.7856	0.9999	0.5054
0.9088	22.2294	0.3114	0.7895	0.9999	0.4916
0.9065	23.9612	0.3113	0.7896	0.9999	0.4810
0.9063	25.7732	0.3112	0.7903	0.9999	0.4918
0.9008	27.6186	0.3112	0.7934	0.9999	0.4930
0.9009	29.6050	0.3111	0.7939	0.9999	0.5037
0.8956	31.7036	0.3110	0.7959	0.9999	0.4944
0.8837	33.8538	0.3109	0.8019	0.9999	0.4985
0.8780	36.1284	0.3108	0.8022	0.9999	0.4775
0.8753	38.5226	0.3107	0.8051	0.9999	0.4930
0.8693	41.0070	0.3106	0.8069	0.9999	0.4894
0.8653	43.6038	0.3105	0.8068	0.9999	0.4801
0.8561	46.3806	0.3104	0.8074	0.9999	0.4908
0.8538	49.3664	0.3103	0.8009	0.9999	0.4852
0.8376	52.4308	0.3102	0.7890	0.9999	0.4822
0.8393	55.8202	0.3099	0.7652	0.9999	0.4956
0.8357	59.5816	0.3097	0.7258	0.9999	0.4692
0.8505	63.7478	0.3095	0.6877	0.9999	0.4886
0.8695	68.8040	0.3092	0.6603	0.9999	0.5079
0.8953	75.0546	0.3089	0.6472	0.9999	0.5311
0.9249	82.9872	0.3085	0.6576	0.9999	0.5498
0.9508	94.3262	0.3081	0.6785	0.9999	0.5757
0.9786	111.7034	0.3075	0.7113	0.9999	0.6050
0.9929	146.9056	0.3062	0.7320	0.9999	0.6350
