alpha = 0.1000	alpha = 0.1000
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.1000	prob.endemic = 0.1000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 2063493212	seed = 2099654195
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.5507	0	15.5022	0.9735	0.9999	0.50265
0.4555	1.211	20.558	0.9992	0.9999	0.45435
0.4561	2.4491	19.9558	0.9998	0.9999	0.45585
0.4509	3.6875	19.6512	0.9999	0.9999	0.4508
0.44945	4.9302	19.344	0.9999	0.9999	0.44935
0.44655	6.1837	19.1424	1	0	0.44655
0.43775	7.4307	19.3812	1	0	0.43775
0.4433	8.6928	18.5437	1	0	0.4433
0.4391	9.9562	18.2812	1	0	0.4391
0.43515	11.2213	18.1305	1	0	0.43515
0.4344	12.4853	17.7091	1	0	0.4344
0.4319	13.7702	17.1852	1	0	0.4319
0.43235	15.0537	16.8293	1	0	0.43235
0.4297	16.3509	16.3955	1	0	0.4297
0.42705	17.6398	15.868	1	0	0.42705
0.42515	18.9429	15.7688	1	0	0.42515
0.4287	20.2476	15.1634	1	0	0.4287
0.4241	21.5521	14.6608	1	0	0.4241
0.4186	22.8706	14.3244	1	0	0.4186
0.4204	24.2006	13.7559	1	0	0.4204
0.4167	25.5369	13.5046	1	0	0.4167
0.4141	26.8794	12.9993	1	0	0.4141
0.41165	28.2123	12.65	1	0	0.41165
0.4082	29.5681	12.0847	1	0	0.4082
0.3999	30.9516	11.9542	1	0	0.3999
0.3993	32.342	11.4535	1	0	0.3993
0.3959	33.7348	10.9522	1	0	0.3959
0.39295	35.1478	10.3776	1	0	0.39295
0.3876	36.5835	9.99295	1	0	0.3876
0.38275	38.0433	9.5575	1	0	0.38275
0.3771	39.5211	9.0132	1	0	0.3771
0.36965	41.0366	8.44315	1	0	0.36965
0.36125	42.5603	8.02075	1	0	0.36125
0.3485	44.1291	7.65515	1	0	0.3485
0.3332	45.7594	7.1752	0.99995	0	0.3332
0.3224	47.437	6.50805	0.9999	0	0.3224
0.3007	49.2146	5.9031	0.99985	0	0.3007
0.27815	51.0846	5.24185	0.9997	0	0.27815
0.24085	53.2049	4.4719	0.9987	0	0.24085
0.17505	55.7433	3.44655	0.98775	0	0.17505
