initial_value	min_pos	min_value	max_pos_99.8	final_value	a	g	pEndemic
0.5493	5	0.5088	9	0.6869	0.36	5.0	0.1
0.898	5	0.8594	9	0.9109	0.77	5.0	0.8
0.6983	7	0.5541	0	0.6821	0.1	10.0	0.4
0.7531	7	0.5578	0	0.6188	0.6	10.0	0.5
0.6543	9	0.2561	0	0.2561	0.28	20.0	0.3
0.6952	4	0.6526	9	0.9857	0.1	5.0	0.4
0.5515	9	0.417	0	0.417	0.28	10.0	0.1
0.8989	6	0.8133	9	0.957	0.17	10.0	0.8
0.8518	9	0.4586	0	0.4586	0.6	20.0	0.7
0.9499	8	0.7707	0	0.7979	0.36	20.0	0.9
0.8973	9	0.6019	0	0.6019	0.46	20.0	0.8
0.9012	4	0.8608	9	0.9429	0.6	5.0	0.8
0.8015	9	0.437	0	0.437	0.1	20.0	0.6
0.7011	0	0.7011	9	0.9987	0.13	0.0	0.4
0.7513	4	0.6958	9	0.9759	0.17	5.0	0.5
0.5543	1	0.5529	9	0.9138	0.22	0.0	0.1
0.9011	8	0.625	0	0.6396	0.22	20.0	0.8
0.5019	0	0.5019	9	0.6231	0.36	0.0	0.0
0.7561	8	0.4783	0	0.4833	0.1	15.0	0.5
0.9498	0	0.9498	9	0.9733	0.77	0.0	0.9
0.706	9	0.3629	0	0.3629	0.6	15.0	0.4
0.753	0	0.753	8	0.9995	0.1	0.0	0.5
0.9508	7	0.8509	0	0.9313	0.17	15.0	0.9
0.4995	9	0.2203	0	0.2203	0.28	15.0	0.0
0.9508	1	0.9505	9	0.987	0.6	0.0	0.9
0.7539	5	0.7001	9	0.9852	0.13	5.0	0.5
0.7022	1	0.7014	9	0.9965	0.17	0.0	0.4
0.4989	5	0.4837	9	0.6464	0.22	5.0	0.0
0.9032	4	0.8642	9	0.9983	0.1	5.0	0.8
0.7955	9	0.4346	0	0.4346	0.17	20.0	0.6
0.6437	9	0.308	0	0.308	0.77	15.0	0.3
0.7	4	0.6261	0	0.695	0.77	5.0	0.4
0.9033	6	0.8091	9	0.9658	0.1	10.0	0.8
0.7939	7	0.6374	0	0.7373	0.46	10.0	0.6
0.8484	7	0.7152	9	0.8527	0.36	10.0	0.7
0.9501	7	0.8921	0	0.9374	0.6	10.0	0.9
0.7417	9	0.3432	0	0.3432	0.36	20.0	0.5
0.704	5	0.6279	9	0.7734	0.6	5.0	0.4
0.6985	9	0.2899	0	0.2899	0.46	20.0	0.4
0.6994	7	0.5449	0	0.6573	0.17	10.0	0.4
0.7996	1	0.7963	9	0.992	0.28	0.0	0.6
0.5523	5	0.5025	9	0.6324	0.46	5.0	0.1
0.9009	0	0.9009	8	0.9997	0.13	0.0	0.8
0.6462	9	0.3489	0	0.3489	0.13	15.0	0.3
0.7935	7	0.6557	9	0.8249	0.22	10.0	0.6
0.6942	9	0.2978	0	0.2978	0.22	20.0	0.4
0.9494	4	0.9273	9	0.9983	0.17	5.0	0.9
0.9505	0	0.9505	6	0.9999	0.1	0.0	0.9
0.6035	9	0.4017	0	0.4017	0.77	10.0	0.2
0.8504	8	0.5928	0	0.6166	0.46	15.0	0.7
0.9512	7	0.8566	0	0.9381	0.1	15.0	0.9
0.7456	0	0.7456	9	0.8398	0.77	0.0	0.5
0.8949	8	0.6932	0	0.724	0.6	15.0	0.8
0.7993	8	0.5158	0	0.5258	0.36	15.0	0.6
0.7543	1	0.7459	9	0.9018	0.6	0.0	0.5
0.498	9	0.174	0	0.174	0.77	20.0	0.0
0.8488	4	0.803	9	0.98	0.28	5.0	0.7
0.7462	8	0.4715	0	0.473	0.17	15.0	0.5
0.5002	0	0.5002	9	0.5913	0.46	0.0	0.0
0.9483	4	0.9269	9	0.9987	0.13	5.0	0.9
0.6007	8	0.4638	0	0.4957	0.13	10.0	0.2
0.8438	8	0.6173	0	0.6718	0.22	15.0	0.7
0.899	0	0.899	8	0.9996	0.17	0.0	0.8
0.4981	9	0.1954	0	0.1954	0.13	20.0	0.0
0.9515	0	0.9515	7	0.9995	0.17	0.0	0.9
0.5492	9	0.2038	0	0.2038	0.13	20.0	0.1
0.7987	8	0.528	0	0.5559	0.22	15.0	0.6
0.9019	4	0.8586	9	0.998	0.13	5.0	0.8
0.651	8	0.5043	0	0.5706	0.13	10.0	0.3
0.5501	9	0.1885	0	0.1885	0.77	20.0	0.1
0.8026	4	0.738	9	0.9691	0.28	5.0	0.6
0.7058	9	0.4047	0	0.4047	0.17	15.0	0.4
0.547	0	0.547	9	0.7456	0.46	0.0	0.1
0.7014	0	0.7014	9	0.8688	0.6	0.0	0.4
0.8045	8	0.5114	0	0.5156	0.46	15.0	0.6
0.9	7	0.7356	0	0.8299	0.1	15.0	0.8
0.7021	1	0.7007	9	0.7871	0.77	0.0	0.4
0.9498	8	0.8312	0	0.8681	0.6	15.0	0.9
0.8527	8	0.599	0	0.6445	0.36	15.0	0.7
0.9001	0	0.9001	7	0.9998	0.1	0.0	0.8
0.6494	8	0.4435	0	0.4513	0.77	10.0	0.3
0.8979	4	0.8619	9	0.9965	0.17	5.0	0.8
0.7503	9	0.3565	0	0.3565	0.22	20.0	0.5
0.8525	7	0.7315	9	0.8974	0.22	10.0	0.7
0.9499	0	0.9499	7	0.9999	0.13	0.0	0.9
0.5981	9	0.2942	0	0.2942	0.13	15.0	0.2
0.7512	7	0.5986	0	0.7491	0.17	10.0	0.5
0.8499	0	0.8499	9	0.9954	0.28	0.0	0.7
0.5012	5	0.4595	9	0.5415	0.46	5.0	0.0
0.7026	9	0.2963	0	0.2963	0.36	20.0	0.4
0.7469	4	0.6841	9	0.8247	0.6	5.0	0.5
0.754	9	0.3437	0	0.3437	0.46	20.0	0.5
0.7485	5	0.6763	9	0.7522	0.77	5.0	0.5
0.9463	6	0.8966	9	0.9896	0.1	10.0	0.9
0.8501	7	0.7087	0	0.8233	0.46	10.0	0.7
0.8008	7	0.6412	0	0.7696	0.36	10.0	0.6
0.9012	7	0.7922	0	0.8614	0.6	10.0	0.8
0.9499	4	0.9269	9	0.9996	0.1	5.0	0.9
0.8492	9	0.5179	0	0.5179	0.17	20.0	0.7
0.6009	9	0.2719	0	0.2719	0.77	15.0	0.2
0.5523	5	0.5182	9	0.7746	0.22	5.0	0.1
0.7505	0	0.7505	9	0.9981	0.17	0.0	0.5
0.706	5	0.6486	9	0.9753	0.13	5.0	0.4
0.8989	1	0.8986	9	0.9708	0.6	0.0	0.8
0.8987	8	0.7301	0	0.8169	0.17	15.0	0.8
0.5489	9	0.2536	0	0.2536	0.28	15.0	0.1
0.6932	0	0.6932	9	0.9994	0.1	0.0	0.4
0.5454	0	0.5454	9	0.8121	0.36	0.0	0.1
0.7016	9	0.4117	0	0.4117	0.1	15.0	0.4
0.8932	0	0.8932	9	0.9452	0.77	0.0	0.8
0.7471	9	0.4164	0	0.4164	0.6	15.0	0.5
0.5008	1	0.4985	9	0.6991	0.22	0.0	0.0
0.952	8	0.779	0	0.8243	0.22	20.0	0.9
0.6959	4	0.6534	9	0.9637	0.17	5.0	0.4
0.7526	1	0.7478	9	0.9991	0.13	0.0	0.5
0.7956	9	0.387	0	0.387	0.6	20.0	0.6
0.9018	8	0.6068	0	0.6158	0.36	20.0	0.8
0.9474	8	0.7689	0	0.7816	0.46	20.0	0.9
