max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
0,0.9306,9,0.2585,8,0.2035,3.6,3.5419,0.36,5.0,0.1
1,0.3604,9,0.1928,7,0.1839,1.8693,4.7899,0.77,5.0,0.8
5,0.9733,0,0.0,9,0.6706,0.0,0.0,0.1,10.0,0.4
4,0.7457,0,0.0,9,0.1777,0.0,0.0,0.6,10.0,0.5
0,0.9098,6,0.9996,0,0.9098,0.9102,8.617,0.28,20.0,0.3
1,0.9573,9,0.8687,6,0.6619,1.102,2.8742,0.1,5.0,0.4
4,0.98,0,0.0,9,0.4986,0.0,0.0,0.28,10.0,0.1
4,0.877,9,0.7798,8,0.7379,1.1246,1.954,0.17,10.0,0.8
6,0.831,0,0.0,9,0.3881,0.0,0.0,0.6,20.0,0.7
7,0.745,0,0.0,9,0.5731,0.0,0.0,0.36,20.0,0.9
7,0.786,0,0.0,9,0.4547,0.0,0.0,0.46,20.0,0.8
1,0.5061,9,0.3571,7,0.3271,1.4173,4.3982,0.6,5.0,0.8
6,0.9907,0,0.0,9,0.8289,0.0,0.0,0.1,20.0,0.6
0,0.87,9,0.8631,3,0.6208,1.008,4.815,0.13,0.0,0.4
2,0.9123,9,0.7858,6,0.6035,1.161,3.1518,0.17,5.0,0.5
0,0.78,9,0.604,5,0.2896,1.2914,7.0541,0.22,0.0,0.1
7,0.9022,0,0.0,9,0.671,0.0,0.0,0.22,20.0,0.8
0,0.64,9,0.1051,8,0.0953,6.0894,7.4853,0.36,0.0,0.0
6,0.9863,0,0.0,9,0.7621,0.0,0.0,0.1,15.0,0.5
0,0.23,9,0.2171,5,0.2122,1.0594,6.6682,0.77,0.0,0.9
5,0.9321,0,0.0,9,0.4287,0.0,0.0,0.6,15.0,0.4
0,0.9,9,0.8973,2,0.7093,1.003,4.0021,0.1,0.0,0.5
6,0.8651,0,0.0,9,0.7833,0.0,0.0,0.17,15.0,0.9
5,1.0,0,0.0,9,0.9667,0.0,0.0,0.28,15.0,0.0
0,0.4,9,0.3885,3,0.3719,1.0296,6.7089,0.6,0.0,0.9
2,0.9335,9,0.8411,6,0.6648,1.1099,3.0869,0.13,5.0,0.5
0,0.83,9,0.8188,3,0.567,1.0137,5.1968,0.17,0.0,0.4
0,0.9825,0,0.0,9,0.2404,0.0,0.0,0.22,5.0,0.0
2,0.9212,9,0.896,6,0.8278,1.0281,2.8632,0.1,5.0,0.8
6,0.9835,0,0.0,9,0.7708,0.0,0.0,0.17,20.0,0.6
5,0.9381,0,0.0,9,0.4187,0.0,0.0,0.77,15.0,0.3
0,0.5902,9,0.107,8,0.1,5.5159,4.689,0.77,5.0,0.4
4,0.9289,9,0.8628,8,0.8268,1.0766,2.031,0.1,10.0,0.8
5,0.7674,0,0.0,9,0.3294,0.0,0.0,0.46,10.0,0.6
4,0.7809,9,0.4975,8,0.4797,1.5696,1.766,0.36,10.0,0.7
4,0.4805,9,0.3579,8,0.3501,1.3426,2.2222,0.6,10.0,0.9
6,0.9865,0,0.0,9,0.7348,0.0,0.0,0.36,20.0,0.5
1,0.7052,9,0.2314,7,0.1926,3.0475,4.2587,0.6,5.0,0.4
6,0.9941,0,0.0,9,0.8053,0.0,0.0,0.46,20.0,0.4
5,0.9526,0,0.0,9,0.5547,0.0,0.0,0.17,10.0,0.4
0,0.72,9,0.7041,3,0.5566,1.0226,5.6274,0.28,0.0,0.6
0,0.8989,9,0.1729,8,0.1511,5.199,3.7766,0.46,5.0,0.1
0,0.87,9,0.8684,2,0.7992,1.0018,3.7172,0.13,0.0,0.8
6,0.9973,0,0.0,9,0.8535,0.0,0.0,0.13,15.0,0.3
5,0.8955,0,0.0,9,0.6005,0.0,0.0,0.22,10.0,0.6
6,0.9983,0,0.0,9,0.8853,0.0,0.0,0.22,20.0,0.4
2,0.8486,9,0.8264,6,0.7886,1.0269,3.2223,0.17,5.0,0.9
0,0.9,9,0.8991,2,0.8665,1.001,2.9335,0.1,0.0,0.9
4,0.8264,0,0.0,9,0.0726,0.0,0.0,0.77,10.0,0.2
6,0.7938,0,0.0,9,0.3652,0.0,0.0,0.46,15.0,0.7
6,0.9207,0,0.0,9,0.8648,0.0,0.0,0.1,15.0,0.9
0,0.23,9,0.1551,6,0.137,1.4829,7.2226,0.77,0.0,0.5
6,0.6211,0,0.0,9,0.2828,0.0,0.0,0.6,15.0,0.8
6,0.8973,0,0.0,9,0.4572,0.0,0.0,0.36,15.0,0.6
0,0.4,9,0.3184,5,0.2538,1.2563,7.1043,0.6,0.0,0.5
0,0.9536,5,1.0,0,0.9536,0.9536,0.5149,0.77,20.0,0.0
1,0.8024,9,0.6873,6,0.5764,1.1675,3.4906,0.28,5.0,0.7
6,0.976,0,0.0,9,0.6734,0.0,0.0,0.17,15.0,0.5
0,0.54,9,0.0672,8,0.0668,8.0357,7.5187,0.46,0.0,0.0
2,0.8836,9,0.8673,5,0.8314,1.0188,2.8912,0.13,5.0,0.9
5,0.9855,0,0.0,9,0.6177,0.0,0.0,0.13,10.0,0.2
6,0.9065,0,0.0,9,0.6043,0.0,0.0,0.22,15.0,0.7
