age_last_spacer	a	pEndemic	g
209.983	0.36	0.1	5.0
170.29	0.77	0.8	5.0
257.214	0.1	0.4	10.0
161.601	0.6	0.5	10.0
158.282	0.28	0.3	20.0
285.457	0.1	0.4	5.0
211.055	0.28	0.1	10.0
182.817	0.17	0.8	10.0
151.266	0.6	0.7	20.0
165.831	0.36	0.9	20.0
160.904	0.46	0.8	20.0
172.124	0.6	0.8	5.0
182.632	0.1	0.6	20.0
302.574	0.13	0.4	0.0
237.537	0.17	0.5	5.0
354.933	0.22	0.1	0.0
168.81	0.22	0.8	20.0
163.074	0.36	0.0	0.0
209.674	0.1	0.5	15.0
171.368	0.77	0.9	0.0
143.283	0.6	0.4	15.0
272.67	0.1	0.5	0.0
172.02	0.17	0.9	15.0
106.599	0.28	0.0	15.0
173.694	0.6	0.9	0.0
245.002	0.13	0.5	5.0
286.132	0.17	0.4	0.0
147.706	0.22	0.0	5.0
190.456	0.1	0.8	5.0
175.479	0.17	0.6	20.0
133.59	0.77	0.3	15.0
165.274	0.77	0.4	5.0
185.307	0.1	0.8	10.0
174.925	0.46	0.6	10.0
178.42	0.36	0.7	10.0
167.014	0.6	0.9	10.0
154.414	0.36	0.5	20.0
173.772	0.6	0.4	5.0
138.089	0.46	0.4	20.0
234.414	0.17	0.4	10.0
217.71	0.28	0.6	0.0
177.975	0.46	0.1	5.0
195.054	0.13	0.8	0.0
237.682	0.13	0.3	15.0
197.844	0.22	0.6	10.0
173.722	0.22	0.4	20.0
176.982	0.17	0.9	5.0
179.596	0.1	0.9	0.0
143.492	0.77	0.2	10.0
164.604	0.46	0.7	15.0
172.23	0.1	0.9	15.0
172.96	0.77	0.5	0.0
162.859	0.6	0.8	15.0
170.267	0.36	0.6	15.0
185.446	0.6	0.5	0.0
99.9021	0.77	0.0	20.0
192.716	0.28	0.7	5.0
197.335	0.17	0.5	15.0
163.501	0.46	0.0	0.0
177.55	0.13	0.9	5.0
314.752	0.13	0.2	10.0
179.33	0.22	0.7	15.0
193.313	0.17	0.8	0.0
94.9051	0.13	0.0	20.0
179.629	0.17	0.9	0.0
217.798	0.13	0.1	20.0
184.155	0.22	0.6	15.0
189.606	0.13	0.8	5.0
275.365	0.13	0.3	10.0
107.095	0.77	0.1	20.0
203.89	0.28	0.6	5.0
207.506	0.17	0.4	15.0
204.383	0.46	0.1	0.0
187.466	0.6	0.4	0.0
162.401	0.46	0.6	15.0
179.088	0.1	0.8	15.0
173.969	0.77	0.4	0.0
165.789	0.6	0.9	15.0
169.238	0.36	0.7	15.0
196.298	0.1	0.8	0.0
148.122	0.77	0.3	10.0
187.56	0.17	0.8	5.0
171.058	0.22	0.5	20.0
188.318	0.22	0.7	10.0
180.707	0.13	0.9	0.0
262.17	0.13	0.2	15.0
216.475	0.17	0.5	10.0
202.589	0.28	0.7	0.0
145.362	0.46	0.0	5.0
149.324	0.36	0.4	20.0
175.802	0.6	0.5	5.0
144.947	0.46	0.5	20.0
165.455	0.77	0.5	5.0
174.513	0.1	0.9	10.0
173.54	0.46	0.7	10.0
183.135	0.36	0.6	10.0
166.493	0.6	0.8	10.0
177.571	0.1	0.9	5.0
172.47	0.17	0.7	20.0
128.729	0.77	0.2	15.0
304.459	0.22	0.1	5.0
256.03	0.17	0.5	0.0
275.06	0.13	0.4	5.0
176.613	0.6	0.8	0.0
177.058	0.17	0.8	15.0
171.874	0.28	0.1	15.0
312.558	0.1	0.4	0.0
243.418	0.36	0.1	0.0
227.236	0.1	0.4	15.0
171.329	0.77	0.8	0.0
149.5	0.6	0.5	15.0
169.907	0.22	0.0	0.0
167.89	0.22	0.9	20.0
261.694	0.17	0.4	5.0
265.28	0.13	0.5	0.0
143.933	0.6	0.6	20.0
163.408	0.36	0.8	20.0
164.641	0.46	0.9	20.0
171.466	0.6	0.9	5.0
177.547	0.1	0.7	20.0
125.378	0.28	0.0	10.0
174.432	0.17	0.9	10.0
149.465	0.28	0.2	20.0
250.965	0.1	0.5	5.0
144.371	0.36	0.0	5.0
