initial_value	min_pos	min_value	max_pos_99.8	final_value	a	pEndemic	g
0.54575	2	0.5419	39	0.91775	0.36	0.1	5.0
0.90445	5	0.89025	39	0.9595	0.77	0.8	5.0
0.7009	10	0.67075	31	0.9999	0.1	0.4	10.0
0.75105	10	0.71795	39	0.9339	0.6	0.5	10.0
0.6591	19	0.60175	39	0.9875	0.28	0.3	20.0
0.70215	4	0.6865	29	0.9999	0.1	0.4	5.0
0.551	11	0.53895	39	0.95645	0.28	0.1	10.0
0.9022	10	0.88325	30	0.9999	0.17	0.8	10.0
0.8458	18	0.7905	39	0.95975	0.6	0.7	20.0
0.9489	18	0.92545	38	0.99935	0.36	0.9	20.0
0.8997	16	0.85455	39	0.99285	0.46	0.8	20.0
0.90195	6	0.8877	39	0.9849	0.6	0.8	5.0
0.7958	17	0.75145	33	0.9999	0.1	0.6	20.0
0.6999	1	0.69795	29	0.9999	0.13	0.4	0.0
0.74505	4	0.7354	33	0.9999	0.17	0.5	5.0
0.5543	1	0.54995	39	0.9932	0.22	0.1	0.0
0.8988	15	0.8555	36	0.9998	0.22	0.8	20.0
0.4958	0	0.4958	39	0.5789	0.36	0.0	0.0
0.7506	13	0.71495	32	0.9999	0.1	0.5	15.0
0.9488	0	0.9488	39	0.98215	0.77	0.9	0.0
0.6999	14	0.6513	39	0.87575	0.6	0.4	15.0
0.74665	0	0.74665	25	0.9999	0.1	0.5	0.0
0.94965	13	0.9326	29	0.9999	0.17	0.9	15.0
0.50015	13	0.49175	39	0.60825	0.28	0.0	15.0
0.94985	2	0.94855	39	0.99575	0.6	0.9	0.0
0.7462	4	0.7384	30	0.9999	0.13	0.5	5.0
0.70095	1	0.69985	33	0.9999	0.17	0.4	0.0
0.5013	7	0.4943	39	0.6345	0.22	0.0	5.0
0.89935	5	0.89145	23	0.9999	0.1	0.8	5.0
0.80105	17	0.7442	37	0.9999	0.17	0.6	20.0
0.64715	14	0.5953	39	0.7083	0.77	0.3	15.0
0.695	8	0.68215	39	0.8167	0.77	0.4	5.0
0.90055	9	0.8805	25	0.9999	0.1	0.8	10.0
0.79925	10	0.77135	39	0.9888	0.46	0.6	10.0
0.8505	11	0.8274	39	0.9986	0.36	0.7	10.0
0.95245	10	0.9383	39	0.99265	0.6	0.9	10.0
0.75065	18	0.69055	39	0.98805	0.36	0.5	20.0
0.70215	6	0.68545	39	0.91715	0.6	0.4	5.0
0.6972	20	0.63745	39	0.94125	0.46	0.4	20.0
0.7023	10	0.68265	36	0.9999	0.17	0.4	10.0
0.79835	1	0.7961	37	0.9997	0.28	0.6	0.0
0.54455	7	0.54305	39	0.81945	0.46	0.1	5.0
0.9004	1	0.8986	23	0.9999	0.13	0.8	0.0
0.648	15	0.6236	36	0.99985	0.13	0.3	15.0
0.8021	9	0.7728	36	0.9998	0.22	0.6	10.0
0.6948	19	0.6501	39	0.99845	0.22	0.4	20.0
0.9478	4	0.9439	26	0.9999	0.17	0.9	5.0
0.9491	0	0.9491	16	0.9999	0.1	0.9	0.0
0.59745	13	0.56865	39	0.67125	0.77	0.2	10.0
0.8489	13	0.80975	39	0.9911	0.46	0.7	15.0
0.95235	11	0.93085	26	0.9999	0.1	0.9	15.0
0.7503	1	0.7476	39	0.8791	0.77	0.5	0.0
0.8985	14	0.86645	39	0.97905	0.6	0.8	15.0
0.7979	14	0.7607	39	0.99635	0.36	0.6	15.0
0.75085	1	0.74525	39	0.9514	0.6	0.5	0.0
0.5101	19	0.46095	0	0.48265	0.77	0.0	20.0
0.851	6	0.83385	37	0.9998	0.28	0.7	5.0
0.74625	13	0.71325	36	0.9997	0.17	0.5	15.0
0.4975	1	0.4955	39	0.55015	0.46	0.0	0.0
0.95285	6	0.94355	22	0.9999	0.13	0.9	5.0
0.5974	6	0.59025	37	0.9999	0.13	0.2	10.0
0.85335	14	0.81455	36	0.9999	0.22	0.7	15.0
0.9027	1	0.89655	26	0.9999	0.17	0.8	0.0
0.4983	4	0.4933	39	0.7266	0.13	0.0	20.0
0.95055	1	0.949	22	0.9999	0.17	0.9	0.0
0.54905	19	0.53135	39	0.99425	0.13	0.1	20.0
0.8015	14	0.75685	37	0.9998	0.22	0.6	15.0
0.89775	5	0.8881	25	0.9999	0.13	0.8	5.0
0.65115	10	0.6318	34	0.9999	0.13	0.3	10.0
0.54965	22	0.49405	0	0.5485	0.77	0.1	20.0
0.80005	5	0.78515	38	0.99955	0.28	0.6	5.0
0.6963	15	0.66295	37	0.9999	0.17	0.4	15.0
0.54755	0	0.54755	39	0.84915	0.46	0.1	0.0
0.69655	0	0.69655	39	0.93195	0.6	0.4	0.0
0.79915	13	0.7521	39	0.9828	0.46	0.6	15.0
0.89835	12	0.87455	28	0.9999	0.1	0.8	15.0
0.7015	4	0.69445	39	0.82875	0.77	0.4	0.0
0.9496	12	0.93	39	0.9901	0.6	0.9	15.0
0.85345	14	0.80985	39	0.99795	0.36	0.7	15.0
0.89775	0	0.89775	20	0.9999	0.1	0.8	0.0
0.64975	10	0.6123	39	0.73495	0.77	0.3	10.0
0.90255	4	0.89135	28	0.9999	0.17	0.8	5.0
0.7554	19	0.69265	39	0.99915	0.22	0.5	20.0
0.8499	9	0.82635	35	0.9999	0.22	0.7	10.0
0.94955	0	0.94955	20	0.9999	0.13	0.9	0.0
0.6002	12	0.58045	38	0.99965	0.13	0.2	15.0
0.74705	10	0.7255	35	0.9999	0.17	0.5	10.0
0.854	2	0.8471	36	0.99985	0.28	0.7	0.0
0.49815	6	0.49255	39	0.54695	0.46	0.0	5.0
0.69765	17	0.64265	39	0.97825	0.36	0.4	20.0
0.7508	7	0.7305	39	0.9439	0.6	0.5	5.0
0.74775	20	0.68715	39	0.96285	0.46	0.5	20.0
0.75315	4	0.73255	39	0.85975	0.77	0.5	5.0
0.94585	9	0.9355	23	0.9999	0.1	0.9	10.0
0.84855	8	0.8227	39	0.99405	0.46	0.7	10.0
0.80065	9	0.776	39	0.9973	0.36	0.6	10.0
0.90205	11	0.87835	39	0.9847	0.6	0.8	10.0
0.9498	2	0.9451	20	0.9999	0.1	0.9	5.0
0.8525	17	0.8013	35	0.9999	0.17	0.7	20.0
0.6014	16	0.54935	39	0.64625	0.77	0.2	15.0
0.54945	3	0.5402	39	0.9912	0.22	0.1	5.0
0.7518	0	0.7518	32	0.9999	0.17	0.5	0.0
0.70505	6	0.68485	32	0.9999	0.13	0.4	5.0
0.8955	0	0.8955	39	0.9878	0.6	0.8	0.0
0.9008	13	0.8736	33	0.9999	0.17	0.8	15.0
0.5525	16	0.5349	39	0.93675	0.28	0.1	15.0
0.69895	0	0.69895	27	0.9999	0.1	0.4	0.0
0.55245	1	0.5485	39	0.9285	0.36	0.1	0.0
0.6962	13	0.66795	33	0.9999	0.1	0.4	15.0
0.90465	7	0.8994	39	0.9646	0.77	0.8	0.0
0.75595	14	0.69655	39	0.92005	0.6	0.5	15.0
0.4946	0	0.4946	39	0.6446	0.22	0.0	0.0
0.95125	14	0.92705	34	0.9999	0.22	0.9	20.0
0.7014	5	0.6891	34	0.9999	0.17	0.4	5.0
0.74375	0	0.74375	28	0.9999	0.13	0.5	0.0
0.8025	17	0.7342	39	0.93035	0.6	0.6	20.0
0.9001	17	0.85655	39	0.9976	0.36	0.8	20.0
0.9516	17	0.92375	39	0.9965	0.46	0.9	20.0
0.94945	4	0.94505	39	0.9933	0.6	0.9	5.0
0.8468	16	0.7995	32	0.9999	0.1	0.7	20.0
0.50355	9	0.49305	39	0.60535	0.28	0.0	10.0
0.9485	10	0.93765	28	0.9999	0.17	0.9	10.0
0.60005	17	0.56245	39	0.9652	0.28	0.2	20.0
0.7517	3	0.743	27	0.9999	0.1	0.5	5.0
0.4981	5	0.49175	39	0.57255	0.36	0.0	5.0
0.9528	5	0.94375	39	0.9806	0.77	0.9	5.0
0.75545	10	0.725	30	0.9999	0.1	0.5	10.0
0.69995	10	0.66975	39	0.9026	0.6	0.4	10.0
0.4981	20	0.4881	39	0.68315	0.17	0.0	20.0
0.94995	16	0.92515	37	0.9998	0.28	0.9	20.0
0.75565	16	0.68995	39	0.82205	0.77	0.5	15.0
0.6006	3	0.58415	39	0.6977	0.77	0.2	5.0
0.5011	10	0.4885	38	0.53895	0.46	0.0	10.0
0.54825	6	0.54045	39	0.8942	0.36	0.1	10.0
0.64585	20	0.60035	39	0.95765	0.36	0.3	20.0
0.60345	7	0.58575	39	0.8169	0.6	0.2	5.0
0.59635	19	0.55425	39	0.83625	0.46	0.2	20.0
0.8553	5	0.83485	39	0.99525	0.46	0.7	5.0
0.60025	11	0.58575	38	0.9995	0.17	0.2	10.0
0.49995	3	0.4967	39	0.6047	0.28	0.0	0.0
0.75345	14	0.71825	34	0.9999	0.13	0.5	15.0
0.49715	2	0.49405	39	0.64025	0.22	0.0	10.0
0.5984	19	0.56955	39	0.98925	0.22	0.2	20.0
0.7045	10	0.66155	39	0.7975	0.77	0.4	10.0
0.54715	14	0.5214	39	0.77055	0.46	0.1	15.0
0.6475	0	0.6475	39	0.78425	0.77	0.3	0.0
0.5015	17	0.4902	39	0.57325	0.36	0.0	15.0
0.64	0	0.64	39	0.89575	0.6	0.3	0.0
0.80165	19	0.7296	39	0.84505	0.77	0.6	20.0
0.8003	0	0.8003	39	0.99225	0.46	0.6	0.0
0.54685	5	0.5427	39	0.9687	0.28	0.1	5.0
0.64985	15	0.62405	38	0.9998	0.17	0.3	15.0
0.7003	9	0.6764	33	0.9999	0.13	0.4	10.0
0.5453	16	0.53635	39	0.97735	0.22	0.1	15.0
0.79605	16	0.7497	34	0.9999	0.13	0.6	20.0
0.59795	11	0.5902	35	0.9999	0.1	0.2	10.0
0.8498	5	0.8397	39	0.99915	0.36	0.7	5.0
0.6533	9	0.6201	39	0.8521	0.6	0.3	10.0
0.7481	18	0.6921	39	0.99785	0.28	0.5	20.0
0.59155	0	0.59155	33	0.9999	0.1	0.2	5.0
0.9507	11	0.93055	39	0.975	0.77	0.9	15.0
0.84815	10	0.82595	37	0.9996	0.28	0.7	10.0
0.549	20	0.5114	39	0.62445	0.6	0.1	20.0
0.50045	21	0.49235	39	0.7617	0.1	0.0	20.0
0.599	0	0.599	34	0.9999	0.13	0.2	0.0
0.94995	13	0.93305	27	0.9999	0.13	0.9	15.0
0.64745	4	0.6401	36	0.9999	0.17	0.3	5.0
0.84725	0	0.84725	32	0.99985	0.22	0.7	0.0
0.64505	15	0.6236	34	0.9999	0.1	0.3	15.0
0.79715	0	0.79715	39	0.99865	0.36	0.6	0.0
0.59925	15	0.562	39	0.76645	0.6	0.2	15.0
0.652	0	0.652	29	0.9999	0.1	0.3	0.0
0.90175	11	0.881	39	0.95165	0.77	0.8	10.0
0.7965	13	0.75955	38	0.99885	0.28	0.6	15.0
0.6475	4	0.6387	34	0.9999	0.13	0.3	5.0
0.89635	9	0.8816	28	0.9999	0.13	0.8	10.0
0.6011	2	0.60035	37	0.9998	0.17	0.2	0.0
0.80085	6	0.78795	35	0.99985	0.22	0.6	5.0
0.84975	6	0.83785	34	0.9999	0.22	0.7	5.0
0.6489	1	0.6488	35	0.9999	0.17	0.3	0.0
0.59745	5	0.58935	36	0.9999	0.13	0.2	5.0
0.94875	10	0.93705	25	0.9999	0.13	0.9	10.0
0.85055	14	0.81255	38	0.99935	0.28	0.7	15.0
0.598	0	0.598	32	0.9999	0.1	0.2	0.0
0.952	9	0.9391	39	0.97605	0.77	0.9	10.0
0.6048	15	0.58395	36	0.9999	0.1	0.2	15.0
0.84935	1	0.84765	38	0.9991	0.36	0.7	0.0
0.64785	15	0.605	39	0.82425	0.6	0.3	15.0
0.79875	0	0.79875	34	0.9999	0.22	0.6	0.0
0.6006	6	0.59325	38	0.99975	0.17	0.2	5.0
0.65695	1	0.6382	32	0.9999	0.13	0.3	0.0
0.90035	12	0.87355	31	0.9999	0.13	0.8	15.0
0.4991	18	0.4762	39	0.50985	0.6	0.0	20.0
0.5515	20	0.53245	39	0.9989	0.1	0.1	20.0
0.79215	10	0.77375	38	0.99925	0.28	0.6	10.0
0.7037	17	0.64835	39	0.99435	0.28	0.4	20.0
0.65015	6	0.6417	31	0.9999	0.1	0.3	5.0
0.90085	12	0.8682	39	0.94175	0.77	0.8	15.0
0.6496	9	0.63265	32	0.9999	0.1	0.3	10.0
0.7989	4	0.7863	39	0.99755	0.36	0.6	5.0
0.60625	10	0.57565	39	0.79225	0.6	0.2	10.0
0.8513	16	0.80095	34	0.9999	0.13	0.7	20.0
0.50205	10	0.49055	39	0.63495	0.22	0.0	15.0
0.75495	8	0.7278	32	0.9999	0.13	0.5	10.0
0.8509	17	0.78505	39	0.8987	0.77	0.7	20.0
0.8452	0	0.8452	39	0.99515	0.46	0.7	0.0
0.50085	5	0.4908	39	0.61055	0.28	0.0	5.0
0.6026	15	0.576	39	0.9992	0.17	0.2	15.0
0.59975	0	0.59975	39	0.836	0.6	0.2	0.0
0.49555	14	0.48495	39	0.54235	0.46	0.0	15.0
0.6021	2	0.5963	39	0.7129	0.77	0.2	0.0
0.5552	14	0.52845	39	0.8608	0.36	0.1	15.0
0.74905	12	0.71245	39	0.8403	0.77	0.5	10.0
0.64635	19	0.60635	39	0.99605	0.22	0.3	20.0
0.5449	9	0.538	39	0.9872	0.22	0.1	10.0
0.6965	15	0.66455	35	0.9999	0.13	0.4	15.0
0.80035	6	0.78635	39	0.99225	0.46	0.6	5.0
0.6455	11	0.6301	37	0.9998	0.17	0.3	10.0
0.54945	0	0.54945	39	0.97745	0.28	0.1	0.0
0.5987	19	0.5602	39	0.9164	0.36	0.2	20.0
0.6573	8	0.6335	39	0.88035	0.6	0.3	5.0
0.6523	19	0.5874	39	0.90285	0.46	0.3	20.0
0.6457	5	0.63005	39	0.75875	0.77	0.3	5.0
0.5442	10	0.5342	39	0.80245	0.46	0.1	10.0
0.4993	11	0.4926	39	0.57995	0.36	0.0	10.0
0.54905	19	0.53115	39	0.98235	0.17	0.1	20.0
0.898	17	0.85185	37	0.9994	0.28	0.8	20.0
0.69615	15	0.6431	39	0.7772	0.77	0.4	15.0
0.70205	17	0.65585	36	0.99985	0.13	0.4	20.0
0.89735	4	0.89145	33	0.9999	0.22	0.8	5.0
0.6514	13	0.62165	39	0.99845	0.22	0.3	15.0
0.8005	10	0.771	32	0.9999	0.13	0.6	10.0
0.65495	4	0.63955	39	0.99745	0.28	0.3	5.0
0.8971	12	0.86715	37	0.99965	0.28	0.8	15.0
0.551	15	0.53265	39	0.99405	0.17	0.1	15.0
0.69875	0	0.69875	39	0.9808	0.46	0.4	0.0
0.70085	20	0.6192	39	0.7416	0.77	0.4	20.0
0.55185	2	0.5476	39	0.7297	0.6	0.1	0.0
0.59915	15	0.57085	39	0.9456	0.36	0.2	15.0
0.65105	15	0.6105	39	0.9262	0.46	0.3	15.0
0.54325	0	0.54325	39	0.6242	0.77	0.1	0.0
0.9022	1	0.89815	37	0.9996	0.36	0.8	0.0
0.7977	10	0.7655	39	0.8854	0.77	0.6	10.0
0.4986	20	0.4913	39	0.64295	0.22	0.0	20.0
0.9473	0	0.9473	27	0.9999	0.22	0.9	0.0
0.5969	10	0.58845	39	0.99785	0.22	0.2	10.0
0.85525	14	0.81525	32	0.9999	0.13	0.7	15.0
0.5017	11	0.4919	39	0.6765	0.17	0.0	10.0
0.6021	0	0.6021	39	0.99545	0.28	0.2	0.0
0.9502	8	0.93715	34	0.9999	0.28	0.9	10.0
0.75215	5	0.73445	39	0.986	0.46	0.5	5.0
0.50165	7	0.4869	39	0.5195	0.6	0.0	5.0
0.50185	21	0.4812	39	0.54285	0.46	0.0	20.0
0.5473	20	0.5224	39	0.82425	0.36	0.1	20.0
0.6494	10	0.62115	39	0.9834	0.36	0.3	10.0
0.499	7	0.4861	39	0.5062	0.77	0.0	5.0
0.5985	11	0.5793	39	0.8991	0.46	0.2	10.0
0.94975	4	0.94245	35	0.9996	0.36	0.9	5.0
0.8527	17	0.8063	39	0.9077	0.77	0.7	15.0
0.6047	19	0.57115	39	0.99765	0.17	0.2	20.0
0.70155	5	0.6851	38	0.99985	0.22	0.4	5.0
0.8979	16	0.8602	32	0.9999	0.13	0.8	20.0
0.496	1	0.4954	39	0.6761	0.17	0.0	0.0
0.5499	6	0.5423	38	0.9999	0.13	0.1	5.0
0.90175	3	0.89735	39	0.9978	0.46	0.8	0.0
0.6995	14	0.6622	39	0.9967	0.28	0.4	15.0
0.90135	16	0.85105	39	0.93575	0.77	0.8	20.0
0.55305	1	0.5484	35	0.9999	0.1	0.1	0.0
0.501	15	0.47875	39	0.5173	0.6	0.0	15.0
0.70275	1	0.6978	39	0.9961	0.36	0.4	0.0
0.55255	14	0.53955	38	0.9998	0.1	0.1	15.0
0.7448	1	0.74345	36	0.9999	0.22	0.5	0.0
0.5416	0	0.5416	39	0.99795	0.17	0.1	5.0
0.50015	1	0.4975	39	0.70625	0.13	0.0	0.0
0.5991	14	0.5786	38	0.9998	0.1	0.2	20.0
0.64765	19	0.58335	39	0.79765	0.6	0.3	20.0
0.95215	4	0.9425	38	0.9985	0.46	0.9	5.0
0.753	10	0.7181	39	0.99895	0.28	0.5	10.0
0.8545	17	0.7987	39	0.99915	0.28	0.7	20.0
0.4956	6	0.4945	39	0.75115	0.1	0.0	5.0
0.54985	10	0.5273	39	0.68805	0.6	0.1	10.0
0.7488	5	0.7364	39	0.99605	0.36	0.5	5.0
0.49975	7	0.49345	39	0.7561	0.1	0.0	10.0
0.50085	10	0.48315	39	0.51845	0.6	0.0	10.0
0.70095	5	0.68965	39	0.9939	0.36	0.4	5.0
0.5516	10	0.54045	37	0.9999	0.1	0.1	10.0
0.79605	18	0.7428	39	0.99855	0.28	0.6	20.0
0.5516	5	0.54775	36	0.9999	0.1	0.1	5.0
0.903	7	0.89	39	0.9969	0.46	0.8	5.0
0.69545	10	0.67145	39	0.99825	0.28	0.4	10.0
0.6578	19	0.61625	36	0.9999	0.1	0.3	20.0
0.6007	19	0.54585	39	0.7322	0.6	0.2	20.0
0.54885	1	0.54715	38	0.9998	0.13	0.1	0.0
0.4974	1	0.49055	39	0.6743	0.17	0.0	5.0
0.69865	0	0.69865	37	0.9999	0.22	0.4	0.0
0.54845	13	0.52095	39	0.66205	0.6	0.1	15.0
0.75335	1	0.7477	39	0.9975	0.36	0.5	0.0
0.5036	10	0.4961	39	0.76045	0.1	0.0	15.0
0.50465	1	0.5012	39	0.7431	0.1	0.0	0.0
0.9517	2	0.95055	38	0.99885	0.46	0.9	0.0
0.7515	14	0.7091	39	0.9983	0.28	0.5	15.0
0.95135	17	0.92135	39	0.96945	0.77	0.9	20.0
0.50195	3	0.49595	39	0.71385	0.13	0.0	5.0
0.94745	15	0.9255	30	0.9999	0.13	0.9	20.0
0.5533	1	0.55055	39	0.9992	0.17	0.1	0.0
0.75145	5	0.7374	36	0.9999	0.22	0.5	5.0
0.79705	14	0.75165	39	0.86785	0.77	0.6	15.0
0.65155	19	0.60335	39	0.99905	0.17	0.3	20.0
0.5982	10	0.58065	39	0.96195	0.36	0.2	10.0
0.5485	4	0.53595	39	0.61395	0.77	0.1	5.0
0.6523	10	0.62345	39	0.9456	0.46	0.3	10.0
0.89615	5	0.88595	38	0.9993	0.36	0.8	5.0
0.5502	5	0.53445	39	0.7103	0.6	0.1	5.0
0.5568	20	0.51085	39	0.72615	0.46	0.1	20.0
0.4985	19	0.4809	39	0.5739	0.36	0.0	20.0
0.54995	12	0.54335	39	0.99735	0.17	0.1	10.0
0.6484	0	0.6484	39	0.99775	0.28	0.3	0.0
0.8988	10	0.88175	36	0.99955	0.28	0.8	10.0
0.6982	5	0.6863	39	0.97445	0.46	0.4	5.0
0.7986	13	0.7652	33	0.99985	0.13	0.6	15.0
0.6518	11	0.63075	39	0.9994	0.22	0.3	10.0
0.55395	20	0.5263	39	0.95425	0.22	0.1	20.0
0.89745	0	0.89745	31	0.9999	0.22	0.8	0.0
0.85105	11	0.82415	39	0.9236	0.77	0.7	10.0
0.64355	14	0.6164	39	0.97595	0.36	0.3	15.0
0.59945	15	0.568	39	0.8786	0.46	0.2	15.0
0.49475	0	0.49475	23	0.51445	0.77	0.0	0.0
0.95115	2	0.9497	34	0.9999	0.36	0.9	0.0
0.497	2	0.4967	38	0.52785	0.6	0.0	0.0
0.60495	4	0.59205	39	0.99415	0.28	0.2	5.0
0.95085	13	0.9305	35	0.9998	0.28	0.9	15.0
0.4954	12	0.49435	39	0.6838	0.17	0.0	15.0
0.7497	0	0.7497	39	0.988	0.46	0.5	0.0
0.74905	18	0.6729	39	0.79535	0.77	0.5	20.0
0.85655	8	0.82695	30	0.9999	0.13	0.7	10.0
0.59855	16	0.57275	39	0.9948	0.22	0.2	15.0
0.9527	5	0.942	29	0.9999	0.22	0.9	5.0
0.75325	16	0.6988	35	0.9999	0.13	0.5	20.0
0.59955	6	0.59205	39	0.9985	0.22	0.2	5.0
0.7978	0	0.7978	30	0.9999	0.17	0.6	0.0
0.84995	5	0.8393	28	0.9999	0.13	0.7	5.0
0.9532	12	0.93005	32	0.99985	0.22	0.9	15.0
0.95105	3	0.94455	32	0.9997	0.28	0.9	5.0
0.60365	14	0.57415	39	0.98195	0.28	0.2	15.0
0.85105	0	0.85105	22	0.9999	0.1	0.7	0.0
0.90265	13	0.8686	39	0.99895	0.36	0.8	15.0
0.79875	16	0.7528	39	0.94765	0.6	0.6	15.0
0.84415	14	0.81615	29	0.9999	0.1	0.7	15.0
0.95005	13	0.93025	38	0.9976	0.46	0.9	15.0
0.59895	0	0.59895	39	0.9802	0.36	0.2	0.0
0.64775	0	0.64775	38	0.99975	0.22	0.3	0.0
0.85025	5	0.8407	30	0.9999	0.17	0.7	5.0
0.80055	1	0.80015	27	0.9999	0.13	0.6	0.0
0.89945	9	0.8775	33	0.9999	0.22	0.8	10.0
0.7004	17	0.658	35	0.9999	0.1	0.4	20.0
0.7484	18	0.6776	39	0.89635	0.6	0.5	20.0
0.89705	0	0.89705	33	0.9999	0.28	0.8	0.0
0.64615	10	0.6331	39	0.99715	0.28	0.3	10.0
0.5456	14	0.52655	39	0.9049	0.28	0.1	20.0
0.90005	16	0.86275	33	0.99985	0.17	0.8	20.0
0.80115	4	0.78935	25	0.9999	0.1	0.6	5.0
0.8475	9	0.82115	39	0.97445	0.6	0.7	10.0
0.95145	9	0.9386	36	0.99955	0.36	0.9	10.0
0.8988	10	0.87905	39	0.9971	0.46	0.8	10.0
0.79355	10	0.77875	28	0.9999	0.1	0.6	10.0
0.64965	5	0.6336	39	0.9898	0.36	0.3	5.0
0.60355	20	0.5726	38	0.99925	0.13	0.2	20.0
0.74975	13	0.7106	37	0.99965	0.22	0.5	15.0
0.4963	3	0.49305	39	0.71255	0.13	0.0	10.0
0.6021	2	0.5966	39	0.934	0.46	0.2	0.0
0.74775	2	0.73885	38	0.99945	0.28	0.5	5.0
0.84675	13	0.8128	34	0.9999	0.17	0.7	15.0
0.5986	22	0.53555	39	0.61695	0.77	0.2	20.0
0.8537	1	0.847	39	0.98275	0.6	0.7	0.0
0.69435	13	0.6594	39	0.987	0.36	0.4	15.0
0.7528	13	0.69885	39	0.9725	0.46	0.5	15.0
0.8496	0	0.8496	39	0.9406	0.77	0.7	0.0
0.5023	10	0.4782	0	0.49995	0.77	0.0	10.0
0.7973	17	0.74405	38	0.99955	0.22	0.6	20.0
0.7038	9	0.67705	38	0.99965	0.22	0.4	10.0
0.55355	15	0.53725	39	0.9985	0.13	0.1	15.0
0.652	5	0.63205	39	0.95965	0.46	0.3	5.0
0.80385	9	0.77265	34	0.9999	0.17	0.6	10.0
0.7035	0	0.7035	38	0.99925	0.28	0.4	0.0
0.8993	16	0.85965	30	0.9999	0.1	0.8	20.0
0.8022	4	0.78535	39	0.96275	0.6	0.6	5.0
0.80125	18	0.73895	39	0.9772	0.46	0.6	20.0
0.85475	17	0.7927	39	0.9966	0.36	0.7	20.0
0.9484	16	0.9218	39	0.9885	0.6	0.9	20.0
0.7542	10	0.7204	39	0.9944	0.36	0.5	10.0
0.7946	5	0.7835	39	0.90425	0.77	0.6	5.0
0.69915	10	0.66865	39	0.96845	0.46	0.4	10.0
0.5554	17	0.5105	39	0.5735	0.77	0.1	15.0
0.70185	17	0.65325	38	0.9995	0.17	0.4	20.0
0.5001	15	0.4711	2	0.4905	0.77	0.0	15.0
0.74905	19	0.7006	37	0.9998	0.17	0.5	20.0
0.7045	9	0.6692	39	0.9906	0.36	0.4	10.0
0.85445	6	0.83505	39	0.93175	0.77	0.7	5.0
0.7482	11	0.7231	39	0.9807	0.46	0.5	10.0
0.95105	16	0.92495	28	0.9999	0.1	0.9	20.0
0.8451	5	0.8326	39	0.97755	0.6	0.7	5.0
0.85125	18	0.79135	39	0.9869	0.46	0.7	20.0
0.79605	18	0.7388	39	0.99235	0.36	0.6	20.0
0.8972	14	0.85555	39	0.9762	0.6	0.8	20.0
0.6033	2	0.59075	39	0.91955	0.46	0.2	5.0
0.84665	9	0.82375	32	0.9999	0.17	0.7	10.0
0.74675	0	0.74675	38	0.9995	0.28	0.5	0.0
0.5005	7	0.49225	39	0.72145	0.13	0.0	15.0
0.7496	7	0.7244	37	0.99985	0.22	0.5	10.0
0.8506	16	0.7997	37	0.9998	0.22	0.7	20.0
0.55275	12	0.5242	39	0.5979	0.77	0.1	10.0
0.75205	14	0.7037	39	0.9916	0.36	0.5	15.0
0.6968	16	0.6572	39	0.9538	0.46	0.4	15.0
0.80175	1	0.79795	39	0.9114	0.77	0.6	0.0
0.7987	0	0.7987	39	0.9687	0.6	0.6	0.0
0.65025	0	0.65025	39	0.96865	0.46	0.3	0.0
0.69845	5	0.6873	38	0.9992	0.28	0.4	5.0
0.8018	12	0.75955	35	0.9999	0.17	0.6	15.0
0.6442	20	0.5745	39	0.67995	0.77	0.3	20.0
