parameters	max_left_position	max_left_value	max_right_position	max_right_value	min_position	min_value	ratio_of_peaks	euclidean_distance	a	g	pEndemic
0.10_0.00_0.00	0	0.9	39	0.29135	28	0.06665	3.0891	36.4622	0.1	0.0	0.0
0.10_5.00_0.00	0	0.99405	39	0.2959	29	0.07755	3.3594	31.7987	0.1	5.0	0.0
0.10_10.00_0.00	0	0.99675	39	0.30195	30	0.08745	3.301	26.8634	0.1	10.0	0.0
0.10_15.00_0.00	0	0.998	39	0.30695	34	0.10045	3.2513	21.8989	0.1	15.0	0.0
0.10_20.00_0.00	1	0.9985	39	0.31245	34	0.128	3.1957	17.062	0.1	20.0	0.0
0.10_0.00_0.10	0	0.9	37	0.89005	10	0.24965	1.0112	24.0472	0.1	0.0	0.1
0.10_5.00_0.10	0	0.9845	38	0.89	15	0.25655	1.1062	21.5372	0.1	5.0	0.1
0.10_10.00_0.10	1	0.98725	38	0.89075	20	0.26245	1.1083	18.6932	0.1	10.0	0.1
0.10_15.00_0.10	1	0.9881	39	0.891	23	0.27115	1.109	15.9513	0.1	15.0	0.1
0.10_20.00_0.10	4	0.989	39	0.88965	28	0.28745	1.1117	13.0383	0.1	20.0	0.1
0.10_0.00_0.20	0	0.9	35	0.8937	7	0.3696	1.007	18.0096	0.1	0.0	0.2
0.10_5.00_0.20	0	0.97585	36	0.89405	12	0.37595	1.0915	16.5414	0.1	5.0	0.2
0.10_10.00_0.20	1	0.9783	36	0.8939	17	0.37445	1.0944	14.4509	0.1	10.0	0.2
0.10_15.00_0.20	7	0.9789	37	0.8944	21	0.38535	1.0945	12.529	0.1	15.0	0.2
0.10_20.00_0.20	9	0.98025	39	0.89395	25	0.39025	1.0965	10.6472	0.1	20.0	0.2
0.10_0.00_0.30	0	0.9	32	0.89535	6	0.47415	1.0052	15.0258	0.1	0.0	0.3
0.10_5.00_0.30	0	0.96595	34	0.8955	10	0.4706	1.0787	13.6212	0.1	5.0	0.3
0.10_10.00_0.30	1	0.96845	35	0.8956	16	0.475	1.0813	12.2077	0.1	10.0	0.3
0.10_15.00_0.30	3	0.9695	37	0.8954	20	0.4681	1.0828	10.7591	0.1	15.0	0.3
0.10_20.00_0.30	12	0.9713	38	0.89585	24	0.46625	1.0842	9.3073	0.1	20.0	0.3
0.10_0.00_0.40	0	0.9	33	0.89615	5	0.5518	1.0043	12.7564	0.1	0.0	0.4
0.10_5.00_0.40	0	0.95605	34	0.89645	9	0.55105	1.0665	11.6511	0.1	5.0	0.4
0.10_10.00_0.40	4	0.95875	36	0.8962	14	0.5443	1.0698	10.5176	0.1	10.0	0.4
0.10_15.00_0.40	7	0.96065	36	0.8965	19	0.5424	1.0716	9.5046	0.1	15.0	0.4
0.10_20.00_0.40	13	0.96275	38	0.89625	22	0.5436	1.0742	8.4006	0.1	20.0	0.4
0.10_0.00_0.50	0	0.9	32	0.8971	5	0.63205	1.0032	11.4558	0.1	0.0	0.5
0.10_5.00_0.50	0	0.9468	34	0.897	9	0.62175	1.0555	10.3292	0.1	5.0	0.5
0.10_10.00_0.50	1	0.94895	36	0.8969	14	0.61445	1.058	9.3822	0.1	10.0	0.5
0.10_15.00_0.50	6	0.95155	37	0.8969	18	0.61305	1.0609	8.6524	0.1	15.0	0.5
0.10_20.00_0.50	12	0.95445	36	0.89705	22	0.60225	1.064	7.643	0.1	20.0	0.5
0.10_0.00_0.60	0	0.9	30	0.8977	4	0.68845	1.0026	9.9776	0.1	0.0	0.6
0.10_5.00_0.60	1	0.93805	33	0.89745	8	0.6896	1.0452	9.7077	0.1	5.0	0.6
0.10_10.00_0.60	3	0.9399	35	0.89755	13	0.6781	1.0472	8.4492	0.1	10.0	0.6
0.10_15.00_0.60	9	0.94225	35	0.8977	17	0.6692	1.0496	7.8658	0.1	15.0	0.6
0.10_20.00_0.60	13	0.94485	36	0.89745	21	0.66125	1.0528	7.0759	0.1	20.0	0.6
0.10_0.00_0.70	0	0.9	29	0.89785	3	0.7526	1.0024	9.101	0.1	0.0	0.7
0.10_5.00_0.70	0	0.9284	30	0.89785	8	0.74505	1.034	8.7777	0.1	5.0	0.7
0.10_10.00_0.70	4	0.93065	33	0.8979	12	0.73365	1.0365	7.6598	0.1	10.0	0.7
0.10_15.00_0.70	8	0.9327	34	0.8978	17	0.72945	1.0389	7.2701	0.1	15.0	0.7
0.10_20.00_0.70	11	0.93455	35	0.89775	21	0.73495	1.041	7.2347	0.1	20.0	0.7
0.10_0.00_0.80	0	0.9	31	0.89825	3	0.8047	1.0019	8.9881	0.1	0.0	0.8
0.10_5.00_0.80	2	0.9192	32	0.89815	8	0.7945	1.0234	7.8067	0.1	5.0	0.8
0.10_10.00_0.80	6	0.9207	33	0.8981	13	0.7942	1.0252	7.5973	0.1	10.0	0.8
0.10_15.00_0.80	10	0.92195	33	0.89815	16	0.7869	1.0265	6.8975	0.1	15.0	0.8
0.10_20.00_0.80	12	0.9244	35	0.8981	20	0.7872	1.0293	6.6764	0.1	20.0	0.8
0.10_0.00_0.90	0	0.9	26	0.8988	2	0.85425	1.0013	7.8065	0.1	0.0	0.9
0.10_5.00_0.90	2	0.90965	28	0.8987	7	0.84895	1.0122	6.9041	0.1	5.0	0.9
0.10_10.00_0.90	5	0.91075	30	0.89865	12	0.846	1.0135	6.7382	0.1	10.0	0.9
0.10_15.00_0.90	7	0.9117	32	0.8985	16	0.8454	1.0147	6.7556	0.1	15.0	0.9
0.10_20.00_0.90	10	0.9129	33	0.89855	19	0.8452	1.016	6.4607	0.1	20.0	0.9
0.13_0.00_0.00	0	0.87	39	0.22445	31	0.05955	3.8761	36.5077	0.13	0.0	0.0
0.13_5.00_0.00	0	0.9915	39	0.2277	34	0.06695	4.3544	31.9725	0.13	5.0	0.0
0.13_10.00_0.00	0	0.9955	39	0.23295	30	0.07575	4.2734	26.9989	0.13	10.0	0.0
0.13_15.00_0.00	0	0.99695	39	0.23725	31	0.0905	4.2021	22.1311	0.13	15.0	0.0
0.13_20.00_0.00	0	0.9977	39	0.24305	33	0.11035	4.1049	17.2419	0.13	20.0	0.0
0.13_0.00_0.10	0	0.87	38	0.85765	13	0.2211	1.0144	26.5938	0.13	0.0	0.1
0.13_5.00_0.10	0	0.97855	38	0.8572	17	0.22655	1.1416	23.767	0.13	5.0	0.1
0.13_10.00_0.10	1	0.98275	39	0.8578	19	0.23615	1.1457	20.6815	0.13	10.0	0.1
0.13_15.00_0.10	4	0.9847	39	0.8576	24	0.24115	1.1482	17.4819	0.13	15.0	0.1
0.13_20.00_0.10	3	0.9854	39	0.84825	27	0.2483	1.1617	14.3078	0.13	20.0	0.1
0.13_0.00_0.20	0	0.87	36	0.8623	9	0.3336	1.0089	20.7898	0.13	0.0	0.2
0.13_5.00_0.20	0	0.96735	37	0.86235	13	0.3419	1.1218	18.8077	0.13	5.0	0.2
0.13_10.00_0.20	0	0.97065	38	0.86285	18	0.342	1.1249	16.5745	0.13	10.0	0.2
0.13_15.00_0.20	3	0.97245	39	0.86195	21	0.34105	1.1282	14.1878	0.13	15.0	0.2
0.13_20.00_0.20	8	0.97415	39	0.8623	25	0.34435	1.1297	12.0621	0.13	20.0	0.2
0.13_0.00_0.30	0	0.87	34	0.86385	6	0.4365	1.0071	17.4354	0.13	0.0	0.3
0.13_5.00_0.30	0	0.9548	36	0.86395	12	0.42945	1.1052	15.707	0.13	5.0	0.3
0.13_10.00_0.30	2	0.95845	37	0.86465	15	0.42905	1.1085	13.9513	0.13	10.0	0.3
0.13_15.00_0.30	6	0.96015	38	0.86465	20	0.42245	1.1104	12.2566	0.13	15.0	0.3
0.13_20.00_0.30	12	0.96255	38	0.86445	24	0.42345	1.1135	10.6364	0.13	20.0	0.3
0.13_0.00_0.40	0	0.87	34	0.8653	6	0.5195	1.0054	15.178	0.13	0.0	0.4
0.13_5.00_0.40	0	0.942	36	0.86535	10	0.5095	1.0886	13.4854	0.13	5.0	0.4
0.13_10.00_0.40	4	0.94625	37	0.8652	14	0.5046	1.0937	12.4243	0.13	10.0	0.4
0.13_15.00_0.40	7	0.9492	37	0.86535	19	0.49425	1.0969	10.8611	0.13	15.0	0.4
0.13_20.00_0.40	12	0.9521	38	0.86515	23	0.4909	1.1005	9.6004	0.13	20.0	0.4
0.13_0.00_0.50	0	0.87	33	0.86635	5	0.58785	1.0042	13.3022	0.13	0.0	0.5
